contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
CWFF32,Jan 2032,2032,2024-12-27,18618.0,0.0,,30-01-2032
CWFG32,Feb 2032,2032,2024-12-27,18618.0,0.0,,27-02-2032
CWFH32,Mar 2032,2032,2024-12-27,18618.0,0.0,,31-03-2032
CWFJ32,Apr 2032,2032,2024-12-27,18618.0,0.0,,30-04-2032
CWFK32,May 2032,2032,2024-12-27,18618.0,0.0,,31-05-2032
CWFM32,Jun 2032,2032,2024-12-27,18618.0,0.0,,30-06-2032
CWFN32,Jul 2032,2032,2024-12-27,18618.0,0.0,,30-07-2032
CWFQ32,Aug 2032,2032,2024-12-27,18618.0,0.0,,31-08-2032
CWFU32,Sep 2032,2032,2024-12-27,18618.0,0.0,,30-09-2032
CWFV32,Oct 2032,2032,2024-12-27,18618.0,0.0,,29-10-2032
CWFX32,Nov 2032,2032,2024-12-27,18618.0,0.0,,30-11-2032
CWFZ32,Dec 2032,2032,2024-12-27,18618.0,0.0,,24-12-2032
CWFF32,Jan 2032,2032,2024-12-30,18618.0,0.0,,30-01-2032
CWFG32,Feb 2032,2032,2024-12-30,18618.0,0.0,,27-02-2032
CWFH32,Mar 2032,2032,2024-12-30,18618.0,0.0,,31-03-2032
CWFJ32,Apr 2032,2032,2024-12-30,18618.0,0.0,,30-04-2032
CWFK32,May 2032,2032,2024-12-30,18618.0,0.0,,31-05-2032
CWFM32,Jun 2032,2032,2024-12-30,18618.0,0.0,,30-06-2032
CWFN32,Jul 2032,2032,2024-12-30,18618.0,0.0,,30-07-2032
CWFQ32,Aug 2032,2032,2024-12-30,18618.0,0.0,,31-08-2032
CWFU32,Sep 2032,2032,2024-12-30,18618.0,0.0,,30-09-2032
CWFV32,Oct 2032,2032,2024-12-30,18618.0,0.0,,29-10-2032
CWFX32,Nov 2032,2032,2024-12-30,18618.0,0.0,,30-11-2032
CWFZ32,Dec 2032,2032,2024-12-30,18618.0,0.0,,24-12-2032
CWFF32,Jan 2032,2032,2024-12-31,18621.0,0.0,,
CWFG32,Feb 2032,2032,2024-12-31,18621.0,0.0,,
CWFH32,Mar 2032,2032,2024-12-31,18621.0,0.0,,
CWFJ32,Apr 2032,2032,2024-12-31,18621.0,0.0,,
CWFK32,May 2032,2032,2024-12-31,18621.0,0.0,,
CWFM32,Jun 2032,2032,2024-12-31,18621.0,0.0,,
CWFN32,Jul 2032,2032,2024-12-31,18621.0,0.0,,
CWFQ32,Aug 2032,2032,2024-12-31,18621.0,0.0,,
CWFU32,Sep 2032,2032,2024-12-31,18621.0,0.0,,
CWFV32,Oct 2032,2032,2024-12-31,18621.0,0.0,,
CWFX32,Nov 2032,2032,2024-12-31,18621.0,0.0,,
CWFZ32,Dec 2032,2032,2024-12-31,18621.0,0.0,,
CWFF27,Jan 2027,2027,2026-03-05,20321.0,50.0,,
CWFF28,Jan 2028,2028,2026-03-05,22529.0,5.0,,
CWFF29,Jan 2029,2029,2026-03-05,21518.0,0.0,,
CWFF30,Jan 2030,2030,2026-03-05,20543.0,0.0,,
CWFF31,Jan 2031,2031,2026-03-05,19525.0,0.0,,
CWFG27,Feb 2027,2027,2026-03-05,20321.0,50.0,,
CWFG28,Feb 2028,2028,2026-03-05,22529.0,5.0,,
CWFG29,Feb 2029,2029,2026-03-05,21518.0,0.0,,
CWFG30,Feb 2030,2030,2026-03-05,20543.0,0.0,,
CWFG31,Feb 2031,2031,2026-03-05,19525.0,0.0,,
CWFH26,Mar 2026,2026,2026-03-05,25761.0,1110.0,,
CWFH27,Mar 2027,2027,2026-03-05,20321.0,50.0,,
CWFH28,Mar 2028,2028,2026-03-05,22529.0,5.0,,
CWFH29,Mar 2029,2029,2026-03-05,21518.0,0.0,,
CWFH30,Mar 2030,2030,2026-03-05,20543.0,0.0,,
CWFH31,Mar 2031,2031,2026-03-05,19525.0,0.0,,
CWFJ26,Apr 2026,2026,2026-03-05,29050.0,1545.0,,
CWFJ27,Apr 2027,2027,2026-03-05,25400.0,50.0,,
CWFJ28,Apr 2028,2028,2026-03-05,22529.0,5.0,,
CWFJ29,Apr 2029,2029,2026-03-05,21518.0,0.0,,
CWFJ30,Apr 2030,2030,2026-03-05,20543.0,0.0,,
CWFJ31,Apr 2031,2031,2026-03-05,19525.0,0.0,,
CWFK26,May 2026,2026,2026-03-05,30007.0,740.0,,
CWFK27,May 2027,2027,2026-03-05,25400.0,50.0,,
CWFK28,May 2028,2028,2026-03-05,22529.0,5.0,,
CWFK29,May 2029,2029,2026-03-05,21518.0,0.0,,
CWFK30,May 2030,2030,2026-03-05,20543.0,0.0,,
CWFK31,May 2031,2031,2026-03-05,19525.0,0.0,,
CWFM26,Jun 2026,2026,2026-03-05,30750.0,535.0,,
CWFM27,Jun 2027,2027,2026-03-05,25400.0,50.0,,
CWFM28,Jun 2028,2028,2026-03-05,22529.0,5.0,,
CWFM29,Jun 2029,2029,2026-03-05,21518.0,0.0,,
CWFM30,Jun 2030,2030,2026-03-05,20543.0,0.0,,
