date,year,month,brazil_ore_export_kt,brazil_5y_avg_kt,guinea_bauxite_export_kt,guinea_5y_avg_kt,port_hedland_ore_mt,china_port_inventory_mt,long_haul_ton_miles_bn
2017-01-01,2017,1,27435.2,27435.2,3850.0,3850.0,43.5,132.5,344.91
2017-02-01,2017,2,24250.6,24250.6,4120.0,4120.0,45.0,130.0,312.9
2017-03-01,2017,3,31210.4,31210.4,4560.0,4560.0,42.0,127.5,394.39
2017-04-01,2017,4,26890.1,26890.1,4320.0,4320.0,43.5,135.0,344.18
2017-05-01,2017,5,32140.8,32140.8,4180.0,4180.0,45.0,132.5,400.36
2017-06-01,2017,6,34520.3,34520.3,3950.0,3950.0,42.0,130.0,423.96
2017-07-01,2017,7,29006.2,29006.2,3120.0,3120.0,43.5,127.5,354.01
2017-08-01,2017,8,36710.5,36710.5,2950.0,2950.0,45.0,135.0,436.86
2017-09-01,2017,9,33890.4,33890.4,3450.0,3450.0,42.0,132.5,411.43
2017-10-01,2017,10,34120.6,34120.6,4890.0,4890.0,43.5,130.0,430.09
2017-11-01,2017,11,33940.1,33940.1,5210.0,5210.0,45.0,127.5,431.69
2017-12-01,2017,12,38875.8,38875.8,6120.0,6120.0,42.0,135.0,496.18
2018-01-01,2018,1,27950.4,27435.2,4950.0,3850.0,44.7,134.5,362.89
2018-02-01,2018,2,25110.2,24250.6,5120.0,4120.0,46.2,132.0,333.56
2018-03-01,2018,3,28940.7,31210.4,5670.0,4560.0,43.2,129.5,381.85
2018-04-01,2018,4,29120.5,26890.1,5340.0,4320.0,44.7,137.0,380.13
2018-05-01,2018,5,35140.2,32140.8,5120.0,4180.0,46.2,134.5,443.89
2018-06-01,2018,6,33890.7,34520.3,4890.0,3950.0,43.2,132.0,427.57
2018-07-01,2018,7,35620.4,29006.2,3850.0,3120.0,44.7,156.67,434.94
2018-08-01,2018,8,38210.6,36710.5,3620.0,2950.0,46.2,152.5,460.86
2018-09-01,2018,9,36140.5,33890.4,4120.0,3450.0,43.2,149.5,443.69
2018-10-01,2018,10,37890.2,34120.6,5780.0,4890.0,44.7,145.0,481.53
2018-11-01,2018,11,34210.4,33940.1,5980.0,5210.0,46.2,141.5,443.29
2018-12-01,2018,12,37766.4,38875.8,6890.0,6120.0,43.2,137.5,492.6
2019-01-01,2019,1,32410.8,27692.8,5890.0,4400.0,45.9,139.0,422.49
2019-02-01,2019,2,28940.5,24680.4,6120.0,4620.0,47.4,144.0,386.89
2019-03-01,2019,3,22180.2,30075.6,6780.0,5115.0,44.4,147.0,319.92
2019-04-01,2019,4,18340.6,28005.3,6450.0,4830.0,45.9,145.33,273.99
2019-05-01,2019,5,29120.4,33640.5,6210.0,4650.0,47.4,130.5,389.88
2019-06-01,2019,6,29870.5,34205.5,5890.0,4420.0,44.4,119.5,394.54
2019-07-01,2019,7,34120.8,32313.3,4620.0,3485.0,45.9,117.0,427.07
2019-08-01,2019,8,32940.2,37460.6,4350.0,3285.0,47.4,122.0,411.06
2019-09-01,2019,9,37120.6,35015.4,4980.0,3785.0,44.4,125.0,464.1
2019-10-01,2019,10,31250.4,36005.4,6780.0,5335.0,45.9,130.0,419.69
2019-11-01,2019,11,27140.8,34075.2,7120.0,5595.0,47.4,131.0,378.29
2019-12-01,2019,12,36565.8,38321.1,8210.0,6505.0,44.4,129.5,494.18
2020-01-01,2020,1,26710.4,29265.5,6780.0,4896.7,47.1,128.5,369.75
2020-02-01,2020,2,21540.8,26100.4,7010.0,5120.0,48.6,129.0,315.46
2020-03-01,2020,3,20950.6,27443.8,7890.0,5670.0,45.6,124.67,318.82
2020-04-01,2020,4,23980.2,24783.7,7450.0,5370.0,47.1,118.5,347.22
2020-05-01,2020,5,21510.4,32133.8,7120.0,5170.0,48.6,111.5,316.36
2020-06-01,2020,6,30040.6,32760.5,6890.0,4910.0,45.6,108.5,407.61
2020-07-01,2020,7,33410.2,32915.8,5420.0,3863.3,47.1,111.0,428.22
2020-08-01,2020,8,31340.8,35953.8,5120.0,3640.0,48.6,117.0,402.09
2020-09-01,2020,9,37860.5,35717.2,5890.0,4183.3,45.6,118.33,482.43
2020-10-01,2020,10,31180.4,34420.4,7890.0,5816.7,46.477,126.0,431.35
2020-11-01,2020,11,29150.2,31763.8,8210.0,6103.3,41.625,131.5,412.6
2020-12-01,2020,12,34295.1,37736.0,9540.0,7073.3,46.499,127.5,484.09
2021-01-01,2021,1,27710.5,28626.7,7500.0,5367.5,48.3,126.0,388.82
2021-02-01,2021,2,22410.6,24960.5,6200.0,5592.5,37.488,126.0,315.96
2021-03-01,2021,3,25780.4,25820.5,7000.0,6225.0,46.8,131.33,361.98
2021-04-01,2021,4,24920.8,24582.8,6800.0,5890.0,48.3,135.0,350.29
2021-05-01,2021,5,29180.2,29477.9,6900.0,5657.5,48.049,133.0,398.26
2021-06-01,2021,6,31210.5,32080.5,6700.0,5405.0,50.376,126.5,418.36
2021-07-01,2021,7,31340.6,33039.4,5800.0,4252.5,48.3,120.97,409.71
2021-08-01,2021,8,34890.2,34800.5,6200.0,4010.0,43.925,119.74,453.23
2021-09-01,2021,9,31420.5,36253.0,4700.0,4610.0,46.984,126.84,398.27
2021-10-01,2021,10,30410.8,33610.4,5800.0,6335.0,46.697,134.74,399.48
2021-11-01,2021,11,30210.4,31110.4,6900.0,6630.0,49.8,145.93,409.59
2021-12-01,2021,12,29945.7,36875.8,9200.0,7690.0,46.8,150.94,432.44
2022-01-01,2022,1,24120.4,28443.5,7000.0,5794.0,49.5,151.4,343.72
2022-02-01,2022,2,21540.2,24450.5,7400.0,5714.0,51.0,153.06,319.82
2022-03-01,2022,3,24510.8,25812.5,8600.0,6380.0,48.0,152.14,365.94
2022-04-01,2022,4,25620.4,24650.4,7200.0,6072.0,49.5,145.32,362.46
2022-05-01,2022,5,27410.6,29418.4,8600.0,5906.0,51.0,135.21,397.84
2022-06-01,2022,6,29710.2,31906.5,7800.0,5664.0,48.0,123.93,414.17
2022-07-01,2022,7,31840.5,32699.6,6000.0,4562.0,49.5,124.84,417.45
2022-08-01,2022,8,32890.4,34818.5,6900.0,4448.0,51.0,133.95,439.07
2022-09-01,2022,9,32010.6,35286.5,8400.0,4628.0,48.0,132.42,446.2
2022-10-01,2022,10,30710.2,32970.5,8000.0,6228.0,49.5,126.57,427.41
