vessel_name,imo_number,trajectory_sequence_json,current_port,current_status
17 February,IMO9380893,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-01-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-01-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-02-10"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-09-10"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2018-10-24"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-04-01"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2020-04-22"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-09-07"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNQDG"", ""name"": ""Qingdao"", ""date"": ""2020-09-24"", ""lat"": 36.08, ""lon"": 120.32}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-06-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-06-17"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-07-04"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USCRP"", ""name"": ""Corpus Christi"", ""date"": ""2021-09-01"", ""lat"": 27.81, ""lon"": -97.39}, {""port"": ""RUPRI"", ""name"": ""Primorsk"", ""date"": ""2023-05-08"", ""lat"": 60.36, ""lon"": 28.61}, {""port"": ""RUPRI"", ""name"": ""Primorsk"", ""date"": ""2025-07-15"", ""lat"": 60.36, ""lon"": 28.61}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2025-08-01"", ""lat"": 22.43, ""lon"": 69.84}]",Sikka / Jamnagar,Operating at berth
A. I. Angelicoussis,IMO9876810,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-07-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2019-08-03"", ""lat"": 22.43, ""lon"": 69.84}]",Sikka / Jamnagar,Underway
AET TBN,IMO9141084,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-11-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-06-20"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-08-22"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-09-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-01-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-01-21"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-11"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-28"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
AGRI KINSALE,IMO9070778,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2025-02-06"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Waiting at anchor
AH UNION,IMO9911855,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2025-01-23"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2025-01-30"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Operating at berth
AKAKI,IMO9499553,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2025-02-07"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Operating at berth
ALMI GALAXY,IMO9965194,"[{""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-04-16"", ""lat"": 29.87, ""lon"": 121.55}]",Ningbo-Zhoushan,Underway
AMAZON,IMO9530147,"[{""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2023-02-24"", ""lat"": 26.65, ""lon"": 50.16}]",Ras Tanura,Waiting at anchor
AMCL TBN,IMO9051814,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-08-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-07-08"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Waiting at anchor
ARAGONA,IMO9729556,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-11-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-10-15"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2025-11-01"", ""lat"": 29.87, ""lon"": 121.55}]",Ningbo-Zhoushan,Operating at berth
